"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"106",106,7.737,36.926,47,45,1036084,22044.34,7902.368,20279,13437,47803,131.532,426.596,6.936,1.182,0.398,1.18,131.597,426.767,6.931,127,425,6,9,5,3,FALSE,FALSE
"107",107,9.712,33.235,59,59,1031057,17475.543,2606.157,16796,13459,23928,650.695,429.644,6.508,1.063,0.342,1.076,650.797,429.743,6.52,647,427,6,7,7,2,FALSE,FALSE
"108",108,26.997,70.369,164,107,5669001,34567.078,17752.961,30948.5,13378,65535,455.409,48.787,8.835,1.715,0.362,1.736,455.334,48.762,8.844,451,46,7,10,7,5,FALSE,FALSE
"109",109,5.597,23.892,34,34,635225,18683.088,2711.984,18768.5,13908,23793,851.5,208.676,7.441,0.856,0.225,0.831,851.52,208.67,7.444,849,206,7,6,6,2,FALSE,FALSE
"110",110,1.646,12.723,10,10,147403,14740.3,1144.31,14434,13479,16396,176.3,213.4,7.4,0.691,0.171,0.741,176.294,213.417,7.382,176,212,7,2,4,2,FALSE,FALSE
"111",111,26.009,70.058,158,110,4739655,29997.816,13153.97,24902.5,13381,63230,246.475,219.671,8.424,1.663,0.32,1.639,246.474,219.662,8.412,242,216,7,10,9,4,TRUE,TRUE
"112",112,10.535,43.545,64,60,1260662,19697.844,4423.303,19104,13556,35898,762.844,220.016,7.688,1.376,0.529,1.375,762.678,219.936,7.674,758,217,7,11,7,3,TRUE,TRUE
"113",113,5.761,24.997,35,31,751918,21483.371,6208.04,20467,14218,41253,474.4,243.4,7.829,0.986,0.237,1.013,474.366,243.45,7.876,473,241,7,4,5,3,TRUE,FALSE
"114",114,20.741,63.78,126,122,2357284,18708.604,3607.28,17856,13366,27977,260.667,324.77,7.548,1.427,0.468,1.432,260.727,324.829,7.539,256,319,7,9,12,3,TRUE,FALSE
"115",115,13.828,54.304,84,69,2035295,24229.703,8855.635,21386.5,13707,54059,132.345,414.786,8.571,1.49,0.505,1.535,132.048,414.613,8.631,128,412,7,11,7,5,TRUE,TRUE
"116",116,6.914,35.099,42,38,795796,18947.523,4358.279,17533.5,13407,31269,417.69,62.381,9.643,1.193,0.458,1.235,417.764,62.331,9.67,414,61,8,8,5,4,TRUE,TRUE
"117",117,3.128,19.79,19,18,324870,17098.422,2742.252,16565,13451,23839,675.895,179.895,8.947,0.77,0.325,0.833,675.85,179.913,8.967,674,177,8,5,6,3,FALSE,FALSE
"118",118,14.815,55.542,90,90,1609330,17881.445,3411.581,16764.5,13394,27081,227.144,202.389,8.533,1.395,0.584,1.308,227.151,202.461,8.533,222,198,8,11,10,2,TRUE,TRUE
"119",119,21.4,67.612,130,90,3969256,30532.738,14681.596,25755,13373,65535,361.5,316.762,10.146,1.726,0.457,1.798,361.497,316.783,10.159,358,312,8,8,10,5,TRUE,TRUE
"120",120,12.017,42.408,73,63,1518328,20799.014,5388.355,19723,13438,34795,929.151,328.082,9.137,1.28,0.354,1.216,929.226,328.053,9.115,924,326,8,10,5,3,TRUE,FALSE
"121",121,18.766,52.543,114,83,3021446,26503.912,10841.227,22582,13398,52925,768.018,406.237,9.368,1.459,0.258,1.452,767.975,406.305,9.383,765,403,8,7,7,4,TRUE,TRUE
"122",122,37.532,81.298,228,139,8205817,35990.426,17670.271,30845,13377,65535,123.044,417.961,9.829,1.917,0.344,1.93,123.017,417.91,9.802,119,414,8,10,8,5,TRUE,FALSE
"123",123,23.54,59.989,143,107,3297699,23060.832,7662.966,21232,13562,51042,472.224,463.182,9.986,1.481,0.272,1.505,472.183,463.266,9.987,468,459,9,9,9,3,TRUE,TRUE
"124",124,30.618,77.574,186,123,5101448,27427.141,10575.549,25896,13497,60196,472.07,44.962,12.538,1.731,0.308,1.702,472.001,44.936,12.484,468,41,10,9,9,6,TRUE,TRUE
"125",125,20.577,59.37,125,93,2894732,23157.855,7731.779,21337,13396,43627,153.6,379.184,11.512,1.454,0.291,1.493,153.506,379.242,11.526,150,376,10,9,7,4,TRUE,TRUE
"126",126,13.828,50.164,84,72,1556161,18525.727,4244.656,17380,13373,30563,627.857,478.131,11.845,1.368,0.475,1.253,627.882,478.249,11.796,625,474,10,7,10,4,TRUE,TRUE
"127",127,14.815,53.27,90,72,2544037,28267.078,12725.744,25140,13384,62009,315.767,506.256,11.844,1.486,0.445,1.46,315.73,506.341,11.797,312,504,10,9,6,5,FALSE,FALSE
"128",128,21.564,60.715,131,90,3312273,25284.527,8725.293,23104,13450,48143,875.908,66.58,12.473,1.583,0.283,1.599,876.03,66.551,12.456,872,64,11,10,7,4,FALSE,FALSE
